time,[0],[1],[2],[3],[4],[5],[6],[7]
203,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
204,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
205,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
206,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
207,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
208,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
209,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
210,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
211,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
212,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
213,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
214,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
215,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
216,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
217,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
218,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
219,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
220,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
221,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
222,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
223,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
224,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
225,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
